Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score
Nintendo,0.28,0.04,0.64,0.03,78,8.1
Playstation,0.37,0.3,0.12,0.19,75,8.3
Microsoft,0.64,0.27,0,0.09,89,8.4
Playstation,0.52,0.27,0,0.19,79,8.7
Playstation,0.02,0.53,0.19,0.25,80,6.8
Nintendo,0.23,0.64,0,0.11,75,6.2
Playstation,0.28,0.18,0.45,0.07,77,8.2
Nintendo,0.5,0.19,0.28,0.02,54,5.4
Nintendo,0.86,0.03,0.01,0.08,44,6.6
Nintendo,0.38,0.5,0,0.11,59,5.9
Microsoft,0.64,0.26,0,0.08,78,6.4
Playstation,0.29,0.23,0.38,0.08,86,7.7
Microsoft,0.57,0.32,0.01,0.08,82,7.5
Microsoft,0.88,0.02,0,0.08,82,7.6
Microsoft,0.73,0.21,0,0.03,87,8.3
Playstation,0.89,0,0,0.08,81,5.3
Nintendo,0.49,0.18,0.29,0.01,88,9.2
Microsoft,0.62,0.26,0,0.09,82,8
Playstation,0.49,0.32,0,0.16,75,5.9
Playstation,0.47,0.37,0,0.12,85,7.6
Playstation,0.78,0.03,0.03,0.13,75,7.9
Microsoft,0.33,0.6,0,0.04,81,8.7
Nintendo,0.85,0.04,0,0.07,54,2.1
Nintendo,0.59,0.29,0,0.09,79,6.6
Microsoft,0.53,0.34,0,0.1,78,5.2
Microsoft,0.51,0.37,0,0.09,77,7.9
Playstation,0.54,0.37,0,0.06,86,9
Playstation,0.38,0.25,0.26,0.07,87,9.1
Playstation,0.36,0.41,0.05,0.15,76,4.3
Playstation,0.44,0.36,0,0.16,76,6.4
Playstation,0.47,0.37,0,0.12,85,8.1
Nintendo,0.47,0.4,0,0.09,77,7.5
Nintendo,0.49,0.37,0,0.1,82,8.6
Playstation,0.36,0.28,0.22,0.09,71,7.9
Microsoft,0.77,0.15,0,0.04,81,8.4
Playstation,0.38,0.38,0.06,0.14,70,6.9
Microsoft,0.88,0.04,0,0.04,85,8.7
Playstation,0.3,0.43,0,0.22,52,6.7
Nintendo,0.26,0.29,0.34,0.05,69,6.9
Nintendo,0.4,0.36,0.13,0.07,71,7.4
Playstation,0.8,0.03,0,0.13,60,7.7
Nintendo,0.3,0.54,0,0.11,63,7.6
Playstation,0.36,0.45,0,0.14,87,8.6
Microsoft,0.54,0.32,0,0.09,60,7.8
Playstation,0.5,0.27,0.04,0.15,74,7.3
Playstation,0.03,0.41,0.51,0,78,4.1
Playstation,0.15,0.13,0.63,0.05,78,8
Playstation,0.41,0.32,0.09,0.12,79,6.9
Playstation,0.27,0.21,0.41,0.07,75,8.4
Playstation,0.24,0.52,0.01,0.18,79,7.7
Microsoft,0.62,0.24,0,0.09,73,7.3
Playstation,0.29,0.33,0.2,0.13,68,6.9
Playstation,0.36,0.43,0,0.16,73,7.1
Playstation,0.79,0.03,0,0.13,70,7.4
Nintendo,0.48,0.27,0.13,0.06,81,8.2
Playstation,0.46,0.36,0,0.12,79,8.4
Playstation,0.34,0.39,0.06,0.15,84,7.7
Playstation,0.39,0.39,0,0.16,77,4.8
Playstation,0.19,0.06,0.63,0.05,64,7.8
Playstation,0.51,0.3,0.01,0.12,78,7
Microsoft,0.87,0,0,0.07,83,6.7
Playstation,0.54,0.27,0,0.13,83,7.6
Nintendo,0.69,0.17,0,0.08,47,4.5
Playstation,0.75,0.03,0.04,0.12,87,9.1
Microsoft,0.57,0.33,0,0.04,92,7.8
Playstation,0.78,0.03,0,0.13,83,8.9
Playstation,0.46,0.36,0,0.12,79,6.8
Playstation,0.32,0.32,0.15,0.15,77,7.9
Playstation,0.29,0.49,0,0.15,79,6.2
Nintendo,0.81,0.05,0,0.07,70,6.1
Microsoft,0.59,0.3,0,0.04,90,8.5
Microsoft,0.56,0.28,0,0.09,85,6.9
Playstation,0.33,0.16,0.36,0.08,64,7.5
Playstation,0.27,0.5,0,0.16,70,5.5
Nintendo,0.28,0.14,0.47,0.04,81,8.7
Nintendo,0.4,0.43,0,0.1,85,8.6
Nintendo,0.67,0.25,0,0.02,71,8.8
Microsoft,0.51,0.25,0.09,0.08,90,8
Playstation,0.77,0.03,0,0.13,83,8.6
Nintendo,0.85,0.01,0,0.07,61,4.8
Nintendo,0.53,0.09,0.27,0.05,66,7
Microsoft,0.36,0.45,0.02,0.1,77,7.8
Playstation,0.37,0.4,0,0.15,73,7.1
Microsoft,0.87,0,0,0.06,39,5.6
Playstation,0.44,0.34,0,0.15,76,8
Playstation,0.33,0.43,0.02,0.15,80,6.8
Playstation,0.45,0.35,0,0.12,59,8.7
Nintendo,0.17,0.2,0.53,0.03,71,7.5
Playstation,0.45,0.35,0,0.12,63,3.3
Microsoft,0.86,0,0,0.06,86,7.1
Playstation,0.51,0.35,0,0.06,61,6.7
Nintendo,0.44,0.05,0.39,0.05,81,9.2
Playstation,0.68,0.08,0,0.17,80,7.8
Playstation,0.43,0.34,0,0.16,85,8.5
Microsoft,0.58,0.26,0,0.09,82,8.4
Playstation,0.86,0,0,0.06,87,7.5
Playstation,0.55,0.21,0,0.16,48,6.4
Microsoft,0.63,0.2,0.02,0.07,73,7.7
Nintendo,0.23,0.42,0.18,0.09,60,6.1
Microsoft,0.58,0.26,0,0.08,79,7.1
Microsoft,0.3,0.32,0.21,0.08,79,7.8
Nintendo,0.41,0.17,0.3,0.05,74,8.2
Nintendo,0.5,0.32,0,0.09,70,6.7
Playstation,0.52,0.27,0,0.12,78,5.4
Playstation,0.45,0.35,0,0.12,76,8.1
Microsoft,0.58,0.24,0.01,0.09,77,7.2
Playstation,0.36,0.41,0,0.15,76,8.3
Playstation,0.35,0.27,0.21,0.09,63,8.9
Nintendo,0.43,0.25,0.16,0.07,92,8.9
Playstation,0.02,0.8,0.02,0.07,90,8.7
Playstation,0.25,0.13,0.46,0.06,57,7.4
Microsoft,0.7,0.11,0,0.09,86,5.7
Playstation,0.35,0.41,0.02,0.14,81,6.8
Nintendo,0.48,0.32,0.02,0.09,56,8.1
Microsoft,0.61,0.26,0,0.04,75,7.9
Playstation,0.23,0.46,0.05,0.17,76,6.5
Playstation,0.44,0.35,0,0.12,80,7.6
Microsoft,0.45,0.26,0.11,0.08,78,8.3
Playstation,0.4,0.28,0.08,0.14,77,3.4
Microsoft,0.44,0.39,0,0.08,71,7
Playstation,0.44,0.35,0,0.12,78,7.6
Microsoft,0.68,0.15,0,0.08,73,7.3
Playstation,0.75,0.03,0,0.12,90,8.8
Microsoft,0.51,0.31,0.01,0.08,76,6.7
Microsoft,0.48,0.32,0.02,0.08,88,8.3
Playstation,0.32,0.39,0.04,0.15,70,5.7
Playstation,0.32,0.42,0.02,0.14,70,7
Playstation,0.17,0.13,0.55,0.05,70,8.1
Playstation,0.52,0.25,0,0.12,74,7.4
Playstation,0.63,0.13,0,0.15,74,5.2
Microsoft,0.41,0.43,0.01,0.05,73,7.6
Playstation,0.74,0.03,0.01,0.12,50,6.5
Microsoft,0.65,0.22,0,0.03,71,7.5
Nintendo,0.42,0.36,0.04,0.07,61,5.2
Playstation,0.42,0.34,0,0.14,86,7.8
Microsoft,0.62,0.24,0,0.04,82,8.5
Microsoft,0.81,0.05,0,0.04,85,7.6
Playstation,0.44,0.34,0,0.11,68,6.6
Playstation,0.74,0.03,0,0.12,76,8
Nintendo,0.6,0.22,0.05,0.02,91,8.5
Playstation,0.66,0.11,0.04,0.08,67,6.3
Playstation,0.74,0.03,0,0.12,83,6.2
Microsoft,0.17,0.62,0,0.1,77,6.7
Nintendo,0.46,0.17,0.24,0.02,84,8.6
Nintendo,0.42,0.16,0.3,0.02,85,9.1
Playstation,0.44,0.27,0,0.18,77,8.3
Playstation,0.16,0.11,0.56,0.06,83,8.2
Playstation,0.44,0.34,0,0.11,85,7.5
Playstation,0.42,0.33,0,0.14,83,7.8
Playstation,0.27,0.35,0.05,0.21,81,8.1
Nintendo,0.56,0.25,0,0.08,75,7.8
Playstation,0.52,0.25,0,0.11,80,7.3
Nintendo,0.28,0.51,0,0.09,80,8.4
Playstation,0.47,0.29,0,0.13,70,7.1
Nintendo,0.83,0,0,0.06,70,7.9
Playstation,0.82,0,0,0.07,79,4.1
Nintendo,0.41,0.37,0.01,0.09,68,8.1
Playstation,0.38,0.36,0,0.15,71,7.5
Playstation,0.27,0.46,0,0.15,78,8.1
Microsoft,0.18,0.59,0.01,0.1,84,7.5
Playstation,0.35,0.37,0.01,0.15,78,7.8
Playstation,0.43,0.34,0,0.11,84,8.3
Playstation,0.21,0.12,0.46,0.08,78,8.3
Nintendo,0.8,0,0.01,0.07,51,7.8
Microsoft,0.47,0.33,0,0.08,77,6.4
Nintendo,0.3,0.22,0.3,0.05,82,8.5
Nintendo,0.5,0.29,0.01,0.08,74,7.3
Nintendo,0.5,0.28,0,0.09,61,5.5
Microsoft,0.73,0.09,0,0.06,93,8.2
Microsoft,0.44,0.35,0,0.08,75,7.6
Playstation,0.43,0.33,0,0.11,86,8.1
Playstation,0.38,0.33,0.03,0.14,82,7.8
Microsoft,0.65,0.19,0,0.03,88,8.8
Nintendo,0.8,0,0,0.07,76,6.8
Playstation,0.49,0.33,0,0.06,48,6.6
Nintendo,0.15,0.62,0,0.11,69,7.2
Microsoft,0.61,0.24,0,0.03,81,8.8
Microsoft,0.38,0.4,0.01,0.08,80,7.9
Microsoft,0.55,0.24,0.01,0.07,80,7.7
Playstation,0.73,0.03,0,0.12,68,7.2
Playstation,0.08,0.11,0.62,0.06,69,8.1
Microsoft,0.62,0.18,0,0.07,63,6.8
Playstation,0.42,0.3,0.01,0.15,73,6.9
Playstation,0.72,0.03,0,0.12,69,7.3
Microsoft,0.33,0.44,0.01,0.09,87,7.9
Microsoft,0.38,0.4,0,0.09,83,7.4
Microsoft,0.48,0.29,0.01,0.09,85,8.1
Playstation,0.72,0.03,0,0.12,88,9
Microsoft,0.48,0.37,0,0.02,65,8.1
Nintendo,0.51,0.27,0.01,0.08,62,4.9
Microsoft,0.47,0.3,0,0.09,76,8.3
Playstation,0.3,0.2,0.3,0.06,92,8.3
Playstation,0.11,0.09,0.64,0.03,55,8.2
Playstation,0.26,0.42,0.03,0.16,77,6.3
Playstation,0.29,0.39,0.02,0.16,72,7.1
Nintendo,0.59,0.2,0,0.07,76,8.5
Playstation,0.34,0.38,0,0.14,80,6.2
Nintendo,0.46,0.21,0.12,0.06,76,8.5
Playstation,0.01,0.72,0.12,0.01,81,8.3
Playstation,0.42,0.33,0,0.11,74,8.4
Playstation,0.48,0.33,0,0.06,53,5.8
Microsoft,0.47,0.31,0,0.08,72,6.5
Playstation,0.12,0.51,0,0.23,76,7.9
Playstation,0.17,0.13,0.51,0.04,72,9.1
Microsoft,0.32,0.42,0.02,0.09,83,8.1
Nintendo,0.12,0.62,0,0.11,73,7.3
Microsoft,0.79,0,0,0.07,81,7
Microsoft,0.64,0.18,0,0.03,88,8.9
Playstation,0.37,0.29,0.09,0.11,81,7.6
Playstation,0.22,0.33,0.18,0.12,71,7.2
Playstation,0.28,0.31,0.13,0.13,82,8.2
Playstation,0.52,0.16,0.08,0.1,83,7.7
Playstation,0.31,0,0,0.53,65,8
Playstation,0.42,0.32,0,0.11,86,8.2
Nintendo,0.35,0.23,0.21,0.05,72,7.7
Playstation,0.32,0.25,0.2,0.08,64,7.9
Nintendo,0.6,0,0.2,0.05,75,8.4
Playstation,0.79,0,0,0.06,85,7.4
Nintendo,0.44,0.3,0.02,0.09,78,8.7
Playstation,0.44,0.27,0.01,0.12,74,7
Playstation,0.35,0.35,0.01,0.14,84,7.1
Microsoft,0.52,0.24,0,0.08,61,7.4
Playstation,0.2,0.12,0.45,0.07,71,7.9
Playstation,0.34,0.36,0,0.14,78,7.9
Nintendo,0.36,0.28,0.14,0.06,84,8.9
Playstation,0.75,0.01,0.01,0.07,83,7.8
Playstation,0.46,0.25,0.01,0.12,84,7.8
Playstation,0.41,0.32,0,0.11,62,5.3
Playstation,0.24,0.16,0.39,0.05,83,8.4
Playstation,0.41,0.32,0,0.11,86,8.1
Playstation,0.75,0,0,0.09,77,6.2
Nintendo,0.28,0.46,0,0.1,51,4.9
Microsoft,0.46,0.28,0.02,0.07,67,6.8
Nintendo,0.6,0.22,0,0.01,89,9
Playstation,0.7,0.05,0,0.08,86,8.4
Nintendo,0.74,0.04,0,0.06,57,6.7
Nintendo,0.76,0.01,0,0.06,82,7.2
Playstation,0.24,0.19,0.34,0.06,75,8.8
Playstation,0.77,0.03,0,0.04,78,6.6
Playstation,0.32,0.32,0.05,0.14,60,7.4
Microsoft,0.52,0.25,0,0.07,49,4.4
Nintendo,0.6,0.22,0,0.01,57,5
Playstation,0.78,0,0,0.05,82,5.8
Microsoft,0.62,0.18,0.01,0.03,77,7.8
Playstation,0.37,0.33,0,0.13,78,6.7
Nintendo,0.44,0.31,0,0.08,79,8.5
Playstation,0.69,0.03,0,0.11,83,8.8
Playstation,0.41,0.32,0,0.11,77,8.2
Nintendo,0.45,0.3,0,0.08,69,7.4
Playstation,0.42,0.21,0.1,0.09,84,5.3
Microsoft,0.58,0.17,0,0.07,84,7.8
Nintendo,0.43,0.19,0.14,0.06,75,7.6
Playstation,0.4,0.26,0.05,0.11,82,4.3
Nintendo,0.55,0.2,0,0.08,70,1.8
Microsoft,0.58,0.22,0,0.03,78,7.8
Playstation,0.69,0.03,0,0.11,81,8.2
Microsoft,0.64,0.12,0,0.06,86,7.9
Nintendo,0.67,0.03,0.06,0.05,65,8.2
Playstation,0.46,0.21,0,0.15,83,8
Microsoft,0.68,0.11,0,0.03,75,6.4
Microsoft,0.69,0.11,0,0.02,78,9
Microsoft,0.4,0.33,0.01,0.09,77,7.6
Playstation,0.34,0.04,0.36,0.08,90,8.9
Playstation,0.42,0.19,0.11,0.09,74,8.8
Playstation,0.25,0.42,0.01,0.13,63,7
Microsoft,0.57,0.18,0,0.06,86,8
Playstation,0.06,0.04,0.66,0.05,78,8.7
Playstation,0.45,0.31,0,0.05,73,6.1
Playstation,0.19,0.41,0,0.22,66,8.7
Playstation,0.07,0.05,0.63,0.05,81,8.8
Microsoft,0.48,0.25,0,0.08,60,7.6
Playstation,0.33,0.25,0.07,0.16,86,8.7
Microsoft,0.12,0.58,0.03,0.08,78,7.6
Playstation,0.4,0.31,0,0.1,70,8.2
Microsoft,0.67,0.05,0,0.08,73,5.9
Playstation,0.75,0,0,0.06,80,6.9
Playstation,0.33,0.34,0,0.13,74,7.1
Playstation,0.67,0.03,0,0.11,75,4.4
Playstation,0.42,0.18,0.11,0.09,60,7.5
Playstation,0.03,0.02,0.74,0.01,75,8.2
Playstation,0.39,0.31,0,0.1,80,8.3
Nintendo,0.2,0.26,0.3,0.04,79,8.5
Nintendo,0.52,0.21,0,0.07,45,7.8
Playstation,0.45,0.3,0,0.05,80,8.1
Microsoft,0.32,0.39,0,0.09,87,8.2
Microsoft,0.48,0.28,0,0.04,83,7.5
Playstation,0.09,0.33,0.2,0.18,72,4.6
Microsoft,0.52,0.2,0,0.07,84,8.1
Nintendo,0.73,0.01,0,0.06,57,7
Playstation,0.19,0.38,0,0.22,57,7.3
Playstation,0.66,0.02,0,0.11,73,8.6
Playstation,0.61,0,0,0.18,71,6.3
Nintendo,0.43,0.29,0,0.07,48,6.4
Playstation,0.05,0.3,0.29,0.16,74,5.8
Playstation,0.24,0.26,0.19,0.1,85,5.3
Playstation,0.44,0.3,0,0.05,34,5.3
Microsoft,0.45,0.27,0,0.07,83,8
Microsoft,0.37,0.35,0.01,0.07,76,5.4
Microsoft,0.48,0.24,0,0.07,74,7
Playstation,0.28,0.22,0.23,0.07,78,8.4
Microsoft,0.47,0.23,0.01,0.08,65,6.9
Microsoft,0.42,0.23,0.07,0.06,75,7.8
Playstation,0.13,0.42,0.13,0.1,87,7.1
Microsoft,0.49,0.22,0.01,0.07,84,7.7
Microsoft,0.51,0.21,0,0.07,76,5
Playstation,0.65,0.03,0,0.11,83,8.3
Microsoft,0.24,0.49,0,0.05,82,8.2
Playstation,0.08,0.46,0,0.25,64,7.3
Microsoft,0.32,0.2,0.21,0.06,72,7.2
Playstation,0.27,0.34,0.04,0.13,53,6
Playstation,0.17,0.5,0,0.11,69,7.3
Playstation,0.36,0.29,0,0.13,55,3.1
Microsoft,0.38,0.29,0.03,0.08,65,7
Playstation,0.42,0.25,0,0.11,81,7.7
Microsoft,0.67,0.04,0.01,0.06,85,8.1
Microsoft,0.43,0.27,0.01,0.07,74,8.5
Nintendo,0.51,0.09,0.13,0.05,79,8.1
Microsoft,0.4,0.31,0,0.07,86,7.4
Microsoft,0.44,0.26,0.01,0.07,57,6.3
Nintendo,0.61,0.11,0,0.06,68,7.8
Nintendo,0.49,0.04,0.21,0.04,88,8.9
Nintendo,0.71,0.01,0,0.06,73,8.2
Playstation,0.49,0.19,0.01,0.09,85,7.7
Playstation,0.65,0.02,0,0.11,81,8.4
Playstation,0.33,0.33,0,0.12,72,6.3
Microsoft,0.38,0.32,0,0.08,87,8.2
Microsoft,0.36,0.34,0,0.07,48,3.8
Microsoft,0.12,0.56,0,0.1,71,7.4
Nintendo,0.45,0.23,0.02,0.07,81,8.6
Playstation,0.24,0.33,0.01,0.19,57,7.1
Microsoft,0.66,0.02,0.03,0.06,81,7.3
Playstation,0.64,0.02,0,0.1,53,6.3
Playstation,0.43,0.29,0,0.05,78,8.5
Microsoft,0.55,0.14,0.03,0.06,52,4.9
Microsoft,0.53,0.18,0,0.06,70,6.5
Playstation,0.11,0.43,0,0.23,70,6.6
Nintendo,0.55,0.2,0,0.01,38,5
Nintendo,0.42,0.21,0.08,0.07,69,7.5
Playstation,0.38,0.29,0,0.1,84,8.7
Nintendo,0.45,0.17,0.14,0.01,77,8.4
Playstation,0.38,0.29,0,0.1,81,8.4
Playstation,0.1,0.08,0.56,0.03,45,3
Nintendo,0.21,0.14,0.38,0.04,46,5.9
Playstation,0.37,0.19,0.11,0.1,57,7.2
Playstation,0.71,0,0,0.06,79,8.2
Playstation,0.37,0.04,0,0.36,66,6.7
Microsoft,0.36,0.38,0,0.03,56,4.7
Playstation,0,0,0.71,0.05,94,8.7
Playstation,0.23,0.31,0.03,0.19,52,6.8
Nintendo,0.57,0.04,0.11,0.06,85,8
Nintendo,0.32,0.28,0.1,0.06,91,8.2
Playstation,0.38,0.23,0,0.15,63,8
Playstation,0.37,0.29,0,0.1,65,6.9
Nintendo,0.3,0.37,0.03,0.07,52,3.3
Microsoft,0.61,0.12,0,0.03,81,8.8
Nintendo,0.54,0.2,0,0.01,39,7.6
Nintendo,0.45,0.23,0,0.07,87,7.6
Playstation,0.33,0.31,0,0.12,51,4.9
Nintendo,0.52,0.18,0,0.06,71,7.8
Nintendo,0.28,0.39,0,0.08,60,6
Playstation,0.21,0,0,0.54,67,8.4
Nintendo,0,0.48,0.25,0.03,81,7.9
Playstation,0.3,0.21,0.2,0.05,76,8.9
Playstation,0.34,0.25,0.05,0.12,89,8.4
Playstation,0.18,0.37,0.06,0.14,55,5.8
Microsoft,0.41,0.26,0.01,0.07,95,7.3
Microsoft,0.28,0.38,0,0.08,81,7.8
Nintendo,0.28,0.39,0,0.08,58,6
Nintendo,0.26,0.19,0.27,0.04,60,7
Playstation,0.47,0.19,0,0.1,86,7.8
Playstation,0.41,0.2,0,0.14,72,6
Nintendo,0.41,0.28,0,0.06,72,5.2
Playstation,0.35,0.23,0.07,0.09,81,6.7
Playstation,0.37,0.29,0,0.1,69,6.5
Playstation,0.3,0.24,0.13,0.08,78,7.4
Playstation,0.09,0.45,0.11,0.1,82,7.2
Microsoft,0.48,0.24,0,0.03,83,7.8
Playstation,0.69,0,0,0.06,75,7.9
Nintendo,0.21,0.46,0,0.08,62,7.6
Playstation,0.22,0.17,0.3,0.06,81,7.9
Playstation,0.62,0.02,0,0.1,76,9
Microsoft,0.46,0.2,0.01,0.07,69,7.1
Playstation,0.28,0.29,0,0.17,59,6.5
Nintendo,0.38,0.03,0.3,0.04,80,6.9
Playstation,0.38,0.25,0,0.11,54,7.1
Playstation,0.41,0.23,0,0.11,76,5.7
Playstation,0.36,0.28,0,0.1,79,7.7
Nintendo,0.66,0.02,0,0.06,63,7.9
Playstation,0.41,0.21,0.01,0.1,67,7.2
Playstation,0.67,0.01,0,0.06,70,8.8
Playstation,0.16,0.37,0.01,0.21,69,6.5
Microsoft,0.48,0.18,0.01,0.07,91,7.9
Playstation,0.36,0.28,0,0.1,79,6.8
Microsoft,0.61,0.1,0,0.03,84,7.4
Playstation,0.14,0.29,0.22,0.09,74,7.2
Playstation,0.42,0.19,0,0.13,60,7.1
Playstation,0.33,0.27,0.02,0.12,85,8.1
Playstation,0.3,0.15,0.22,0.07,77,6.7
Microsoft,0.59,0.12,0,0.03,83,8.2
Microsoft,0.32,0.17,0.19,0.05,79,8.2
Playstation,0.67,0,0,0.07,87,7.8
Nintendo,0.31,0.35,0.02,0.06,82,8
Nintendo,0.68,0,0,0.05,49,6.3
Nintendo,0.31,0.11,0.3,0.02,72,8.3
Playstation,0.49,0.15,0,0.09,74,7.3
Playstation,0.2,0.21,0.24,0.08,72,8
Playstation,0.17,0.41,0,0.15,55,6.9
Playstation,0.22,0.37,0,0.14,79,6.6
Nintendo,0.4,0.15,0.17,0.01,55,4.8
Nintendo,0.58,0.08,0.02,0.05,76,8.9
Nintendo,0.49,0.17,0,0.06,78,7.7
Nintendo,0.16,0.02,0.53,0.01,76,8
Microsoft,0.36,0.29,0.02,0.06,79,6.3
Microsoft,0.54,0.16,0,0.03,80,8.7
Playstation,0.3,0.11,0.24,0.07,86,7.7
Playstation,0.29,0.32,0.01,0.12,72,5.8
Microsoft,0.61,0.07,0,0.05,88,7.7
Microsoft,0.67,0,0,0.06,79,6.9
Microsoft,0.54,0.16,0,0.03,84,8.7
Playstation,0.26,0.35,0,0.12,71,7
Playstation,0.47,0.02,0.17,0.08,86,9
Nintendo,0.38,0.29,0,0.06,75,6.6
Playstation,0.24,0.37,0,0.12,80,7.1
Playstation,0.27,0.24,0.14,0.08,74,7.1
Playstation,0.36,0.28,0,0.09,64,8.7
Nintendo,0.43,0.01,0.25,0.04,65,7
Nintendo,0.52,0.19,0,0.01,73,7.5
Playstation,0.6,0.02,0,0.1,74,7.9
Nintendo,0.23,0.42,0,0.08,65,5.2
Playstation,0.59,0.02,0.01,0.1,68,6.6
Playstation,0.28,0.15,0.22,0.07,74,6.7
Microsoft,0.53,0.17,0,0.03,73,8.9
Nintendo,0.36,0.29,0,0.07,55,7
Playstation,0.6,0.02,0,0.1,79,6
Microsoft,0.67,0,0,0.06,79,7.1
Nintendo,0.34,0.07,0.27,0.04,83,8.1
Playstation,0.58,0,0,0.14,83,7.7
Playstation,0.4,0.27,0,0.05,72,8.4
Nintendo,0.36,0,0.32,0.03,86,8.2
Nintendo,0.62,0.04,0,0.06,77,7.2
Playstation,0.66,0,0,0.06,90,8.1
Microsoft,0.46,0.19,0.01,0.07,74,6.4
Nintendo,0.68,0,0,0.04,75,5.4
Nintendo,0.51,0.19,0,0.01,82,8.6
Microsoft,0.11,0.5,0.01,0.09,84,7.1
Playstation,0.05,0.04,0.61,0.01,66,8.5
Playstation,0.66,0,0,0.06,91,8.3
Microsoft,0.52,0.14,0,0.06,75,6.6
Playstation,0.22,0.36,0.02,0.12,81,8.2
Microsoft,0.23,0.4,0.01,0.08,87,7.1
Microsoft,0.45,0.24,0,0.03,79,8.1
Microsoft,0.67,0.02,0,0.03,92,8.3
Microsoft,0.62,0.03,0,0.06,86,8.4
Playstation,0.23,0.3,0,0.18,60,7.2
Playstation,0.35,0.27,0,0.09,93,9
Playstation,0.23,0.15,0.29,0.05,39,7
Nintendo,0.62,0.04,0,0.06,66,4
Playstation,0.35,0.27,0,0.09,85,8.8
Playstation,0.35,0.27,0,0.09,49,6.2
Playstation,0.6,0.04,0,0.07,75,6.8
Playstation,0.65,0,0,0.06,68,6.5
Microsoft,0.5,0.14,0,0.07,77,7.4
Playstation,0.24,0.27,0.09,0.1,73,7.8
Playstation,0.18,0.07,0.41,0.04,59,7.3
Microsoft,0.65,0,0,0.05,83,7.7
Microsoft,0.53,0.15,0,0.03,77,7.9
Microsoft,0.38,0.26,0,0.06,82,6.4
Nintendo,0.18,0.01,0.5,0.02,65,5.9
Microsoft,0.41,0.22,0,0.07,50,5.5
Playstation,0.35,0.21,0,0.14,67,6.9
Microsoft,0.65,0,0,0.05,81,7.8
Nintendo,0.38,0.26,0,0.06,86,7.1
Microsoft,0.52,0.16,0,0.02,58,5.9
Nintendo,0.23,0.14,0.3,0.04,78,8.4
Playstation,0.34,0.27,0,0.09,73,8.3
Playstation,0.3,0.14,0.2,0.06,79,8.1
Playstation,0.34,0.27,0,0.09,84,8.2
Microsoft,0.48,0.19,0,0.03,89,8.6
Microsoft,0.34,0.18,0.12,0.06,68,7
Playstation,0.16,0.43,0.01,0.11,78,7.5
Microsoft,0.55,0.1,0,0.05,86,7
Nintendo,0.5,0.19,0,0.01,92,9
Playstation,0.34,0.27,0,0.09,66,6.6
Playstation,0.34,0.27,0,0.09,65,7.6
Playstation,0.52,0,0.12,0.05,66,6.4
Playstation,0.16,0.13,0.36,0.04,58,8.1
Playstation,0.64,0,0,0.05,85,8.7
Playstation,0.34,0.27,0,0.09,90,8.8
Microsoft,0.42,0.22,0,0.06,43,3.3
Microsoft,0.25,0.37,0,0.07,80,7.6
Nintendo,0.37,0.14,0.17,0.01,73,7.5
Playstation,0.18,0.36,0.02,0.13,65,7.4
Playstation,0.26,0,0.26,0.17,65,7.5
Nintendo,0.41,0.22,0,0.06,70,6.8
Microsoft,0.54,0.13,0,0.02,89,7.4
Playstation,0.58,0.02,0,0.09,77,8.6
Microsoft,0.38,0.25,0,0.06,40,4.4
Playstation,0.64,0,0,0.05,68,8.1
Nintendo,0.5,0.18,0,0.01,62,4.9
Microsoft,0.39,0.23,0,0.06,76,7.4
Microsoft,0.46,0.17,0,0.07,75,5.8
Nintendo,0.31,0.3,0,0.07,50,3.3
Playstation,0.19,0.36,0.01,0.12,75,7.6
Playstation,0.17,0.39,0,0.13,82,7.7
Playstation,0.34,0.26,0,0.09,78,8.7
Nintendo,0.49,0.18,0,0.01,63,9
Playstation,0.34,0.25,0,0.1,81,7.3
Microsoft,0.3,0.31,0,0.07,68,6.4
Microsoft,0.62,0.04,0,0.02,89,8.8
Microsoft,0.55,0.08,0,0.06,70,7.1
Microsoft,0.25,0.2,0.18,0.06,66,6.9
Microsoft,0.63,0.02,0,0.03,89,8
Playstation,0.52,0.08,0.01,0.08,85,8.8
Playstation,0.24,0.34,0,0.11,67,7.1
Playstation,0.57,0.02,0,0.09,85,8.5
Playstation,0.21,0.11,0.28,0.08,82,8.6
Playstation,0.15,0.1,0.38,0.04,82,8.4
Playstation,0.32,0.25,0,0.11,42,6.2
Microsoft,0.29,0.38,0,0.01,80,7.5
Microsoft,0.51,0.15,0,0.02,85,8.7
Playstation,0.23,0.18,0.2,0.06,76,8.9
Microsoft,0.34,0.28,0,0.06,79,7.8
Nintendo,0.63,0,0,0.05,69,6.8
Nintendo,0.33,0,0.33,0.02,82,8.8
Microsoft,0.49,0.16,0,0.02,84,8.8
Playstation,0.26,0.29,0.02,0.11,60,7
Microsoft,0.35,0.25,0,0.06,79,7.3
Playstation,0.22,0.17,0.23,0.06,74,9
Microsoft,0.48,0.17,0,0.02,78,8.9
Playstation,0.24,0.31,0.01,0.11,71,7.1
Playstation,0.35,0.21,0.01,0.1,67,6
Microsoft,0.35,0.27,0,0.06,81,7.2
Nintendo,0.54,0.03,0.04,0.05,63,6.8
Playstation,0.33,0.23,0,0.1,86,7.7
Nintendo,0.31,0,0.34,0.02,68,7.1
Nintendo,0.38,0.22,0,0.06,73,6.4
Nintendo,0.48,0.18,0,0.01,66,6.8
