"","Platform","Genre","Publisher","Global_Sales"
"2251","X360","Sports","Electronic Arts","[0.33,82.7]"
"2252","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2253","PSP","Action","THQ","[0.33,82.7]"
"2254","X360","Fighting","THQ","[0.33,82.7]"
"2255","X360","Action","Electronic Arts","[0.33,82.7]"
"2256","X360","Misc","Activision","[0.33,82.7]"
"2257","PS","Sports","Acclaim Entertainment","[0.33,82.7]"
"2258","Wii","Action","Activision","[0.33,82.7]"
"2259","N64","Fighting","Electronic Arts","[0.33,82.7]"
"2260","NES","Platform","Nintendo","[0.33,82.7]"
"2261","PC","Adventure","Ubisoft","[0.33,82.7]"
"2262","3DS","Adventure","Nintendo","[0.33,82.7]"
"2263","X360","Shooter","Electronic Arts","[0.33,82.7]"
"2264","PS4","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2265","PS3","Action","Tecmo Koei","[0.33,82.7]"
"2266","PS3","Action","Bethesda Softworks","[0.33,82.7]"
"2267","PS3","Sports","Sony Computer Entertainment","[0.33,82.7]"
"2268","GC","Racing","Sega","[0.33,82.7]"
"2269","PS2","Racing","Empire Interactive","[0.33,82.7]"
"2270","PS","Fighting","Sony Computer Entertainment","[0.33,82.7]"
"2271","X360","Role-Playing","Microsoft Game Studios","[0.33,82.7]"
"2272","PS4","Sports","Sony Computer Entertainment","[0.33,82.7]"
"2273","PS3","Shooter","Codemasters","[0.33,82.7]"
"2274","PS3","Shooter","THQ","[0.33,82.7]"
"2275","Wii","Sports","Bethesda Softworks","[0.33,82.7]"
"2276","PS2","Sports","Activision","[0.33,82.7]"
"2277","PS3","Action","Ubisoft","[0.33,82.7]"
"2278","3DS","Action","Marvelous Entertainment","[0.33,82.7]"
"2279","X360","Strategy","Ubisoft","[0.33,82.7]"
"2280","PS2","Sports","Electronic Arts","[0.33,82.7]"
"2281","PS2","Racing","Genki","[0.33,82.7]"
"2282","PS3","Action","Activision","[0.33,82.7]"
"2283","PS","Racing","Codemasters","[0.33,82.7]"
"2284","N64","Platform","Hasbro Interactive","[0.33,82.7]"
"2285","PS3","Racing","THQ","[0.33,82.7]"
"2286","X360","Adventure","Mojang","[0.33,82.7]"
"2287","XB","Misc","Unknown","[0.33,82.7]"
"2288","X360","Role-Playing","Activision","[0.33,82.7]"
"2289","DS","Shooter","Activision","[0.33,82.7]"
"2290","SNES","Simulation","Hudson Soft","[0.33,82.7]"
"2291","XB","Misc","Sega","[0.33,82.7]"
"2292","PS3","Misc","Activision","[0.33,82.7]"
"2293","XOne","Role-Playing","Electronic Arts","[0.33,82.7]"
"2294","PS3","Action","Electronic Arts","[0.33,82.7]"
"2295","PS2","Sports","Electronic Arts","[0.33,82.7]"
"2296","Wii","Misc","Unknown","[0.33,82.7]"
"2297","SNES","Racing","ASCII Entertainment","[0.33,82.7]"
"2298","PS2","Sports","Sony Computer Entertainment","[0.33,82.7]"
"2299","PS3","Shooter","Sony Computer Entertainment","[0.33,82.7]"
"2300","PS2","Racing","Electronic Arts","[0.33,82.7]"
"2301","PS3","Misc","Sony Computer Entertainment","[0.33,82.7]"
"2302","Wii","Sports","Atari","[0.33,82.7]"
"2303","PS","Racing","Psygnosis","[0.33,82.7]"
"2304","DS","Puzzle","Midway Games","[0.33,82.7]"
"2305","PS3","Shooter","Electronic Arts","[0.33,82.7]"
"2306","PS","Action","989 Studios","[0.33,82.7]"
"2307","PS2","Sports","Sony Computer Entertainment","[0.33,82.7]"
"2308","XB","Platform","Sega","[0.33,82.7]"
"2309","PSP","Shooter","Sony Computer Entertainment","[0.33,82.7]"
"2310","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2311","DS","Action","LucasArts","[0.33,82.7]"
"2312","N64","Sports","Electronic Arts","[0.33,82.7]"
"2313","PS2","Platform","Activision","[0.33,82.7]"
"2314","XB","Shooter","Electronic Arts","[0.33,82.7]"
"2315","Wii","Misc","Sega","[0.33,82.7]"
"2316","PC","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"2317","PS3","Racing","Disney Interactive Studios","[0.33,82.7]"
"2318","Wii","Sports","Electronic Arts","[0.33,82.7]"
"2319","DS","Role-Playing","Nintendo","[0.33,82.7]"
"2320","PS3","Action","Sony Computer Entertainment","[0.33,82.7]"
"2321","XB","Role-Playing","Activision","[0.33,82.7]"
"2322","XB","Sports","Electronic Arts","[0.33,82.7]"
"2323","PS2","Sports","Electronic Arts","[0.33,82.7]"
"2324","X360","Sports","THQ","[0.33,82.7]"
"2325","GBA","Platform","Activision","[0.33,82.7]"
"2326","PS3","Shooter","Ubisoft","[0.33,82.7]"
"2327","PSP","Shooter","Sony Computer Entertainment","[0.33,82.7]"
"2328","Wii","Sports","Electronic Arts","[0.33,82.7]"
"2329","PS2","Sports","Unknown","[0.33,82.7]"
"2330","PS4","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2331","GBA","Platform","Konami Digital Entertainment","[0.33,82.7]"
"2332","DS","Role-Playing","Sega","[0.33,82.7]"
"2333","PS2","Sports","Electronic Arts","[0.33,82.7]"
"2334","GBA","Adventure","Nintendo","[0.33,82.7]"
"2335","PS3","Platform","Sony Computer Entertainment","[0.33,82.7]"
"2336","GBA","Strategy","Nintendo","[0.33,82.7]"
"2337","GB","Strategy","Nintendo","[0.33,82.7]"
"2338","GC","Action","THQ","[0.33,82.7]"
"2339","Wii","Adventure","Ubisoft","[0.33,82.7]"
"2340","PS","Simulation","Sony Computer Entertainment","[0.33,82.7]"
"2341","Wii","Racing","Codemasters","[0.33,82.7]"
"2342","PS2","Sports","Sega","[0.33,82.7]"
"2343","PS4","Sports","Electronic Arts","[0.33,82.7]"
"2344","PSP","Fighting","Square Enix","[0.33,82.7]"
"2345","3DS","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2346","X360","Racing","Codemasters","[0.33,82.7]"
"2347","Wii","Racing","Ubisoft","[0.33,82.7]"
"2348","PC","Shooter","Activision","[0.33,82.7]"
"2349","WiiU","Sports","Nintendo","[0.33,82.7]"
"2350","X360","Role-Playing","Electronic Arts","[0.33,82.7]"
"2351","Wii","Shooter","Activision","[0.33,82.7]"
"2352","PS","Sports","Sony Computer Entertainment","[0.33,82.7]"
"2353","PS2","Misc","Sony Computer Entertainment","[0.33,82.7]"
"2354","SNES","Role-Playing","SquareSoft","[0.33,82.7]"
"2355","PS","Platform","Capcom","[0.33,82.7]"
"2356","X360","Fighting","THQ","[0.33,82.7]"
"2357","X360","Action","Square Enix","[0.33,82.7]"
"2358","PC","Action","Take-Two Interactive","[0.33,82.7]"
"2359","DS","Misc","Pinnacle","[0.33,82.7]"
"2360","X360","Misc","Ubisoft","[0.33,82.7]"
"2361","Wii","Action","Atari","[0.33,82.7]"
"2362","X360","Misc","MTV Games","[0.33,82.7]"
"2363","3DS","Action","Capcom","[0.33,82.7]"
"2364","PS2","Action","Take-Two Interactive","[0.33,82.7]"
"2365","PS2","Misc","Sony Computer Entertainment","[0.33,82.7]"
"2366","Wii","Simulation","Nintendo","[0.33,82.7]"
"2367","PS","Shooter","CTO SpA","[0.33,82.7]"
"2368","XOne","Action","Square Enix","[0.33,82.7]"
"2369","PSP","Strategy","Konami Digital Entertainment","[0.33,82.7]"
"2370","Wii","Simulation","505 Games","[0.33,82.7]"
"2371","PS3","Fighting","Namco Bandai Games","[0.33,82.7]"
"2372","PS2","Sports","Global Star","[0.33,82.7]"
"2373","X360","Racing","Codemasters","[0.33,82.7]"
"2374","PSP","Role-Playing","Sega","[0.33,82.7]"
"2375","XB","Simulation","Microsoft Game Studios","[0.33,82.7]"
"2376","PS","Shooter","TalonSoft","[0.33,82.7]"
"2377","PS","Platform","Crystal Dynamics","[0.33,82.7]"
"2378","XOne","Sports","Take-Two Interactive","[0.33,82.7]"
"2379","X360","Racing","Codemasters","[0.33,82.7]"
"2380","SNES","Sports","ASCII Entertainment","[0.33,82.7]"
"2381","Wii","Sports","Ubisoft","[0.33,82.7]"
"2382","X360","Shooter","THQ","[0.33,82.7]"
"2383","XB","Shooter","Ubisoft","[0.33,82.7]"
"2384","PS3","Shooter","Electronic Arts","[0.33,82.7]"
"2385","PS","Racing","Infogrames","[0.33,82.7]"
"2386","PS2","Role-Playing","Square Enix","[0.33,82.7]"
"2387","Wii","Puzzle","THQ","[0.33,82.7]"
"2388","PS3","Action","Electronic Arts","[0.33,82.7]"
"2389","PS3","Role-Playing","Electronic Arts","[0.33,82.7]"
"2390","PS","Sports","Sony Computer Entertainment","[0.33,82.7]"
"2391","PS3","Sports","Sega","[0.33,82.7]"
"2392","Wii","Shooter","Sega","[0.33,82.7]"
"2393","PS2","Sports","Activision","[0.33,82.7]"
"2394","PS4","Fighting","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2395","PS","Sports","Electronic Arts","[0.33,82.7]"
"2396","PSP","Misc","Sony Computer Entertainment","[0.33,82.7]"
"2397","X360","Shooter","Ubisoft","[0.33,82.7]"
"2398","PS2","Fighting","Electronic Arts","[0.33,82.7]"
"2399","DS","Misc","Disney Interactive Studios","[0.33,82.7]"
"2400","DS","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2401","XB","Shooter","SCi","[0.33,82.7]"
"2402","PS2","Sports","Electronic Arts","[0.33,82.7]"
"2403","PS","Role-Playing","Crave Entertainment","[0.33,82.7]"
"2404","PSP","Puzzle","Sony Computer Entertainment","[0.33,82.7]"
"2405","PS2","Action","Tecmo Koei","[0.33,82.7]"
"2406","X360","Misc","Activision","[0.33,82.7]"
"2407","2600","Misc","Quelle","[0.33,82.7]"
"2408","PS3","Role-Playing","Namco Bandai Games","[0.33,82.7]"
"2409","PS2","Misc","Sony Computer Entertainment","[0.33,82.7]"
"2410","3DS","Action","mixi, Inc","[0.33,82.7]"
"2411","Wii","Action","Eidos Interactive","[0.33,82.7]"
"2412","PSP","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2413","PS3","Action","THQ","[0.33,82.7]"
"2414","PS3","Action","Sony Computer Entertainment","[0.33,82.7]"
"2415","DS","Role-Playing","Square Enix","[0.33,82.7]"
"2416","PS3","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2417","PS2","Fighting","Rage Software","[0.33,82.7]"
"2418","3DS","Role-Playing","Square Enix","[0.33,82.7]"
"2419","PS","Racing","Empire Interactive","[0.33,82.7]"
"2420","N64","Sports","Electronic Arts","[0.33,82.7]"
"2421","PS","Sports","Sony Computer Entertainment","[0.33,82.7]"
"2422","PS3","Fighting","Atari","[0.33,82.7]"
"2423","X360","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2424","DS","Platform","Nintendo","[0.33,82.7]"
"2425","X360","Sports","Electronic Arts","[0.33,82.7]"
"2426","PS2","Action","Tecmo Koei","[0.33,82.7]"
"2427","PS3","Action","Ubisoft Annecy","[0.33,82.7]"
"2428","X360","Racing","Microsoft Game Studios","[0.33,82.7]"
"2429","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2430","DS","Sports","Electronic Arts","[0.33,82.7]"
"2431","PS","Action","3DO","[0.33,82.7]"
"2432","Wii","Racing","Electronic Arts","[0.33,82.7]"
"2433","Wii","Sports","Electronic Arts","[0.33,82.7]"
"2434","X360","Sports","Take-Two Interactive","[0.33,82.7]"
"2435","XOne","Action","Ubisoft","[0.33,82.7]"
"2436","PS","Fighting","Virgin Interactive","[0.33,82.7]"
"2437","XB","Sports","Electronic Arts","[0.33,82.7]"
"2438","PS3","Shooter","Electronic Arts","[0.33,82.7]"
"2439","Wii","Simulation","Ubisoft","[0.33,82.7]"
"2440","NES","Platform","Konami Digital Entertainment","[0.33,82.7]"
"2441","DS","Action","Electronic Arts","[0.33,82.7]"
"2442","PS","Action","GT Interactive","[0.33,82.7]"
"2443","PSP","Racing","Electronic Arts","[0.33,82.7]"
"2444","PS3","Sports","Take-Two Interactive","[0.33,82.7]"
"2445","XOne","Shooter","Activision","[0.33,82.7]"
"2446","PS2","Action","THQ","[0.33,82.7]"
"2447","PS","Sports","Sony Computer Entertainment","[0.33,82.7]"
"2448","PS2","Racing","Acclaim Entertainment","[0.33,82.7]"
"2449","3DS","Action","Nintendo","[0.33,82.7]"
"2450","PS2","Fighting","Virgin Interactive","[0.33,82.7]"
"2451","Wii","Misc","Konami Digital Entertainment","[0.33,82.7]"
"2452","X360","Shooter","505 Games","[0.33,82.7]"
"2453","PS4","Action","Square Enix","[0.33,82.7]"
"2454","GC","Action","Activision","[0.33,82.7]"
"2455","DS","Role-Playing","Nintendo","[0.33,82.7]"
"2456","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2457","PS3","Action","Capcom","[0.33,82.7]"
"2458","PS4","Action","Sony Computer Entertainment","[0.33,82.7]"
"2459","PS3","Sports","Take-Two Interactive","[0.33,82.7]"
"2460","WiiU","Role-Playing","Nintendo","[0.33,82.7]"
"2461","DS","Simulation","Ubisoft","[0.33,82.7]"
"2462","GC","Action","THQ","[0.33,82.7]"
"2463","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2464","PS3","Action","Electronic Arts","[0.33,82.7]"
"2465","PS2","Racing","Acclaim Entertainment","[0.33,82.7]"
"2466","Wii","Simulation","Rising Star Games","[0.33,82.7]"
"2467","NES","Role-Playing","SquareSoft","[0.33,82.7]"
"2468","PS3","Fighting","Capcom","[0.33,82.7]"
"2469","PS","Sports","THQ","[0.33,82.7]"
"2470","X360","Shooter","Take-Two Interactive","[0.33,82.7]"
"2471","PS2","Racing","Empire Interactive","[0.33,82.7]"
"2472","PS4","Shooter","Take-Two Interactive","[0.33,82.7]"
"2473","PS2","Role-Playing","Sony Computer Entertainment","[0.33,82.7]"
"2474","PS2","Sports","Sega","[0.33,82.7]"
"2475","GBA","Adventure","Nintendo","[0.33,82.7]"
"2476","PSV","Sports","Electronic Arts","[0.33,82.7]"
"2477","PS3","Shooter","Namco Bandai Games","[0.33,82.7]"
"2478","PS2","Action","D3Publisher","[0.33,82.7]"
"2479","X360","Racing","Electronic Arts","[0.33,82.7]"
"2480","PS","Puzzle","Atari","[0.33,82.7]"
"2481","Wii","Fighting","THQ","[0.33,82.7]"
"2482","PS","Simulation","Sony Computer Entertainment","[0.33,82.7]"
"2483","PS2","Action","THQ","[0.33,82.7]"
"2484","DS","Strategy","Ubisoft","[0.33,82.7]"
"2485","PSP","Sports","Unknown","[0.33,82.7]"
"2486","GBA","Action","Disney Interactive Studios","[0.33,82.7]"
"2487","PSV","Shooter","Take-Two Interactive","[0.33,82.7]"
"2488","PS2","Sports","Electronic Arts","[0.33,82.7]"
"2489","XB","Shooter","Microsoft Game Studios","[0.33,82.7]"
"2490","X360","Misc","Microsoft Game Studios","[0.33,82.7]"
"2491","GB","Misc","Konami Digital Entertainment","[0.33,82.7]"
"2492","PS","Misc","Unknown","[0.33,82.7]"
"2493","PS","Adventure","Capcom","[0.33,82.7]"
"2494","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2495","PS2","Platform","Sony Computer Entertainment","[0.33,82.7]"
"2496","Wii","Misc","Ubisoft","[0.33,82.7]"
"2497","X360","Strategy","Take-Two Interactive","[0.33,82.7]"
"2498","PS2","Sports","Unknown","[0.33,82.7]"
"2499","DS","Puzzle","Scholastic Inc.","[0.33,82.7]"
"2500","PS3","Action","Activision","[0.33,82.7]"
"2501","PS3","Fighting","Namco Bandai Games","[0.33,82.7]"
"2502","PS","Platform","Sony Computer Entertainment","[0.33,82.7]"
"2503","PS","Adventure","Interplay","[0.33,82.7]"
"2504","Wii","Sports","Hudson Soft","[0.33,82.7]"
"2505","XB","Shooter","Electronic Arts","[0.33,82.7]"
"2506","XOne","Sports","Electronic Arts","[0.33,82.7]"
"2507","PSP","Sports","Activision","[0.33,82.7]"
"2508","GC","Sports","Activision","[0.33,82.7]"
"2509","PS2","Role-Playing","Activision","[0.33,82.7]"
"2510","Wii","Action","LucasArts","[0.33,82.7]"
"2511","X360","Misc","Activision","[0.33,82.7]"
"2512","PS4","Fighting","Capcom","[0.33,82.7]"
"2513","XB","Racing","Electronic Arts","[0.33,82.7]"
"2514","NES","Puzzle","Nintendo","[0.33,82.7]"
"2515","N64","Fighting","Nintendo","[0.33,82.7]"
"2516","XB","Sports","Microsoft Game Studios","[0.33,82.7]"
"2517","2600","Action","Mystique","[0.33,82.7]"
"2518","PSP","Adventure","Sony Computer Entertainment","[0.33,82.7]"
"2519","PS3","Action","Capcom","[0.33,82.7]"
"2520","3DS","Role-Playing","Namco Bandai Games","[0.33,82.7]"
"2521","PS2","Platform","THQ","[0.33,82.7]"
"2522","PS3","Misc","Activision","[0.33,82.7]"
"2523","Wii","Misc","Electronic Arts","[0.33,82.7]"
"2524","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2525","X360","Shooter","Midway Games","[0.33,82.7]"
"2526","DS","Simulation","Ubisoft","[0.33,82.7]"
"2527","PS2","Role-Playing","Atlus","[0.33,82.7]"
"2528","PS3","Misc","Sony Computer Entertainment","[0.33,82.7]"
"2529","X360","Sports","Ubisoft","[0.33,82.7]"
"2530","PS4","Sports","Electronic Arts","[0.33,82.7]"
"2531","PS3","Action","Sony Computer Entertainment","[0.33,82.7]"
"2532","GB","Role-Playing","Enix Corporation","[0.33,82.7]"
"2533","DS","Action","Disney Interactive Studios","[0.33,82.7]"
"2534","PS2","Fighting","Midway Games","[0.33,82.7]"
"2535","SNES","Adventure","ChunSoft","[0.33,82.7]"
"2536","PSP","Misc","Sony Computer Entertainment","[0.33,82.7]"
"2537","PS","Role-Playing","Namco Bandai Games","[0.33,82.7]"
"2538","SNES","Puzzle","Hudson Soft","[0.33,82.7]"
"2539","PS","Racing","Electronic Arts","[0.33,82.7]"
"2540","Wii","Sports","Electronic Arts","[0.33,82.7]"
"2541","GC","Action","Nintendo","[0.33,82.7]"
"2542","PS","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2543","PS4","Misc","Activision","[0.33,82.7]"
"2544","PS","Role-Playing","Enix Corporation","[0.33,82.7]"
"2545","PSP","Role-Playing","Unknown","[0.33,82.7]"
"2546","X360","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2547","N64","Action","3DO","[0.33,82.7]"
"2548","NES","Platform","Capcom","[0.33,82.7]"
"2549","PS2","Shooter","Ubisoft","[0.33,82.7]"
"2550","PS3","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2551","SNES","Role-Playing","Nintendo","[0.33,82.7]"
"2552","X360","Racing","Codemasters","[0.33,82.7]"
"2553","3DS","Puzzle","Level 5","[0.33,82.7]"
"2554","PS","Puzzle","Atari","[0.33,82.7]"
"2555","XOne","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2556","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2557","Wii","Action","Koch Media","[0.33,82.7]"
"2558","PS","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2559","PS2","Role-Playing","Square Enix","[0.33,82.7]"
"2560","PS2","Simulation","Electronic Arts","[0.33,82.7]"
"2561","X360","Misc","Activision","[0.33,82.7]"
"2562","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2563","Wii","Action","Sega","[0.33,82.7]"
"2564","X360","Fighting","Electronic Arts","[0.33,82.7]"
"2565","PS","Misc","Eidos Interactive","[0.33,82.7]"
"2566","PS2","Action","Sega","[0.33,82.7]"
"2567","GC","Simulation","LucasArts","[0.33,82.7]"
"2568","Wii","Misc","Ubisoft","[0.33,82.7]"
"2569","PS","Racing","Electronic Arts","[0.33,82.7]"
"2570","PS2","Shooter","Eidos Interactive","[0.33,82.7]"
"2571","PSP","Simulation","Electronic Arts","[0.33,82.7]"
"2572","PS","Role-Playing","Square EA","[0.33,82.7]"
"2573","X360","Shooter","Sega","[0.33,82.7]"
"2574","PSP","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2575","X360","Action","Activision","[0.33,82.7]"
"2576","X360","Racing","Sega","[0.33,82.7]"
"2577","PS3","Shooter","Activision","[0.33,82.7]"
"2578","PS3","Sports","Take-Two Interactive","[0.33,82.7]"
"2579","Wii","Sports","THQ","[0.33,82.7]"
"2580","PSP","Simulation","Electronic Arts","[0.33,82.7]"
"2581","XB","Action","Ubisoft","[0.33,82.7]"
"2582","X360","Role-Playing","Capcom","[0.33,82.7]"
"2583","X360","Action","THQ","[0.33,82.7]"
"2584","PS3","Action","Capcom","[0.33,82.7]"
"2585","DS","Misc","Ubisoft","[0.33,82.7]"
"2586","PS","Strategy","Banpresto","[0.33,82.7]"
"2587","PSP","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2588","GC","Racing","Electronic Arts","[0.33,82.7]"
"2589","Wii","Action","LucasArts","[0.33,82.7]"
"2590","X360","Misc","Activision","[0.33,82.7]"
"2591","WiiU","Sports","Nintendo","[0.33,82.7]"
"2592","PS2","Role-Playing","Namco Bandai Games","[0.33,82.7]"
"2593","SNES","Sports","Nintendo","[0.33,82.7]"
"2594","PS3","Shooter","City Interactive","[0.33,82.7]"
"2595","X360","Action","Electronic Arts","[0.33,82.7]"
"2596","PSP","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2597","2600","Action","20th Century Fox Video Games","[0.33,82.7]"
"2598","PS2","Fighting","Atari","[0.33,82.7]"
"2599","PS3","Adventure","Avanquest Software","[0.33,82.7]"
"2600","X360","Platform","Ubisoft","[0.33,82.7]"
"2601","PS2","Misc","Activision","[0.33,82.7]"
"2602","PS","Racing","Sony Computer Entertainment","[0.33,82.7]"
"2603","DS","Role-Playing","Square Enix","[0.33,82.7]"
"2604","GC","Role-Playing","Ubisoft","[0.33,82.7]"
"2605","PS","Simulation","Hudson Entertainment","[0.33,82.7]"
"2606","PSP","Strategy","Sony Computer Entertainment","[0.33,82.7]"
"2607","PS","Racing","Take-Two Interactive","[0.33,82.7]"
"2608","PS3","Sports","Electronic Arts","[0.33,82.7]"
"2609","DS","Action","LucasArts","[0.33,82.7]"
"2610","N64","Fighting","Electronic Arts","[0.33,82.7]"
"2611","NES","Platform","Capcom","[0.33,82.7]"
"2612","X360","Role-Playing","Square Enix","[0.33,82.7]"
"2613","PS2","Simulation","Konami Digital Entertainment","[0.33,82.7]"
"2614","PS2","Simulation","Ubisoft","[0.33,82.7]"
"2615","3DS","Role-Playing","Square Enix","[0.33,82.7]"
"2616","Wii","Shooter","Sega","[0.33,82.7]"
"2617","X360","Action","Deep Silver","[0.33,82.7]"
"2618","DS","Action","THQ","[0.33,82.7]"
"2619","N64","Sports","Nintendo","[0.33,82.7]"
"2620","Wii","Sports","Electronic Arts","[0.33,82.7]"
"2621","X360","Role-Playing","Microsoft Game Studios","[0.33,82.7]"
"2622","PS3","Strategy","Take-Two Interactive","[0.33,82.7]"
"2623","PS2","Sports","Electronic Arts","[0.33,82.7]"
"2624","XB","Sports","Electronic Arts","[0.33,82.7]"
"2625","DS","Sports","Nintendo","[0.33,82.7]"
"2626","X360","Fighting","Namco Bandai Games","[0.33,82.7]"
"2627","Wii","Action","Nintendo","[0.33,82.7]"
"2628","3DS","Puzzle","Nintendo","[0.33,82.7]"
"2629","X360","Action","Ubisoft","[0.33,82.7]"
"2630","2600","Shooter","Atari","[0.33,82.7]"
"2631","X360","Misc","Microsoft Game Studios","[0.33,82.7]"
"2632","GBA","Platform","Vivendi Games","[0.33,82.7]"
"2633","DS","Shooter","Nintendo","[0.33,82.7]"
"2634","PC","Adventure","Virgin Interactive","[0.33,82.7]"
"2635","PS","Shooter","Infogrames","[0.33,82.7]"
"2636","PS2","Misc","Sony Computer Entertainment","[0.33,82.7]"
"2637","DS","Puzzle","Ubisoft","[0.33,82.7]"
"2638","DS","Adventure","THQ","[0.33,82.7]"
"2639","Wii","Misc","Nordic Games","[0.33,82.7]"
"2640","PS","Fighting","Capcom","[0.33,82.7]"
"2641","PS3","Action","Sony Computer Entertainment","[0.33,82.7]"
"2642","PS","Strategy","Electronic Arts","[0.33,82.7]"
"2643","DS","Puzzle","Nintendo","[0.33,82.7]"
"2644","PS4","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2645","PSP","Strategy","THQ","[0.33,82.7]"
"2646","PSP","Shooter","LucasArts","[0.33,82.7]"
"2647","X360","Sports","THQ","[0.33,82.7]"
"2648","X360","Action","Capcom","[0.33,82.7]"
"2649","PS2","Sports","Take-Two Interactive","[0.33,82.7]"
"2650","PSP","Racing","Electronic Arts","[0.33,82.7]"
"2651","X360","Action","Disney Interactive Studios","[0.33,82.7]"
"2652","SNES","Role-Playing","ChunSoft","[0.33,82.7]"
"2653","2600","Puzzle","Atari","[0.33,82.7]"
"2654","GC","Shooter","Electronic Arts","[0.33,82.7]"
"2655","X360","Platform","Microsoft Game Studios","[0.33,82.7]"
"2656","PS","Sports","Sony Computer Entertainment","[0.33,82.7]"
"2657","X360","Action","Ubisoft","[0.33,82.7]"
"2658","Wii","Action","Electronic Arts","[0.33,82.7]"
"2659","Wii","Misc","Activision","[0.33,82.7]"
"2660","X360","Shooter","Microsoft Game Studios","[0.33,82.7]"
"2661","2600","Shooter","Atari","[0.33,82.7]"
"2662","PS","Racing","Electronic Arts","[0.33,82.7]"
"2663","PS","Misc","Interplay","[0.33,82.7]"
"2664","XOne","Sports","Electronic Arts","[0.33,82.7]"
"2665","2600","Action","Men-A-Vision","[0.33,82.7]"
"2666","PSP","Racing","Electronic Arts","[0.33,82.7]"
"2667","PS3","Shooter","Take-Two Interactive","[0.33,82.7]"
"2668","PSV","Role-Playing","Sony Computer Entertainment","[0.33,82.7]"
"2669","PS2","Fighting","Electronic Arts","[0.33,82.7]"
"2670","2600","Fighting","Activision","[0.33,82.7]"
"2671","PS","Racing","Electronic Arts","[0.33,82.7]"
"2672","PS3","Fighting","Namco Bandai Games","[0.33,82.7]"
"2673","2600","Action","Atari","[0.33,82.7]"
"2674","N64","Platform","THQ","[0.33,82.7]"
"2675","GB","Role-Playing","Enix Corporation","[0.33,82.7]"
"2676","GBA","Action","THQ","[0.33,82.7]"
"2677","DS","Simulation","Nobilis","[0.33,82.7]"
"2678","DS","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2679","PSP","Action","Sony Computer Entertainment","[0.33,82.7]"
"2680","PS2","Shooter","SCi","[0.33,82.7]"
"2681","PS2","Platform","Capcom","[0.33,82.7]"
"2682","DS","Racing","Nintendo","[0.33,82.7]"
"2683","GBA","Platform","Nintendo","[0.33,82.7]"
"2684","PS2","Sports","Acclaim Entertainment","[0.33,82.7]"
"2685","PS2","Role-Playing","Atari","[0.33,82.7]"
"2686","PS2","Sports","Activision Value","[0.33,82.7]"
"2687","PS2","Platform","Sega","[0.33,82.7]"
"2688","PS","Racing","Psygnosis","[0.33,82.7]"
"2689","PS3","Shooter","Electronic Arts","[0.33,82.7]"
"2690","Wii","Adventure","Ubisoft","[0.33,82.7]"
"2691","3DS","Simulation","Electronic Arts","[0.33,82.7]"
"2692","XB","Racing","Atari","[0.33,82.7]"
"2693","PS2","Action","LucasArts","[0.33,82.7]"
"2694","PS2","Fighting","Gotham Games","[0.33,82.7]"
"2695","PS","Fighting","Virgin Interactive","[0.33,82.7]"
"2696","PSV","Fighting","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"2697","PS","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2698","X360","Shooter","Capcom","[0.33,82.7]"
"2699","PS3","Fighting","Namco Bandai Games","[0.33,82.7]"
"2700","PC","Shooter","Valve Software","[0.33,82.7]"
"2701","DS","Misc","Sega","[0.33,82.7]"
"2702","PS4","Sports","Konami Digital Entertainment","[0.33,82.7]"
"2703","Wii","Puzzle","THQ","[0.33,82.7]"
"2704","PS3","Action","Electronic Arts","[0.33,82.7]"
"2705","NES","Role-Playing","SquareSoft","[0.33,82.7]"
"2706","N64","Sports","Activision","[0.33,82.7]"
